Index,demand
0,0.06060822926209118
1,0.02841222285025982
2,0.02822626032168723
3,0.048668751168047315
4,0.051188339497300055
5,0.023681295773467
6,0.0425376871200482
7,0.11449422382409383
8,0.03969070702768245
9,0.07299682766082495
10,0.029240026100871383
11,0.24623004653203617
12,0.2399357224755241
13,0.038366365818479936
14,0.11699824334548353
15,0.06397350385273261
16,0.12708346239082097
17,0.03947397527554391
18,0.10601185700769351
19,0.061283165903765674
20,0.012653380650654321
21,0.02458260776533391
22,0.07218952775006872
23,0.042467657830156054
24,0.46040499644892774
25,0.11789601025711104
26,0.04196343728392837
27,0.086423361281797
28,0.05881987051564976
29,0.016703227854194872
30,0.023184771660523924
31,0.0362226491898051
32,0.03311669989317143
33,0.08077495445646256
34,0.23435397461039528
35,0.5065632116227932
36,0.0456748740196501
37,0.05568048442834189
38,0.08074501471956427
39,0.1512553215580434
40,0.010776109449902553
41,0.010016088715110899
42,0.019088797358552893
43,0.05614497930472303
44,0.03584762210426654
45,0.07442621649609396
46,0.10087160000285404
47,0.4680681780625051
48,0.11170171883828041
49,0.08934388036886226
50,0.3039700785376026
51,0.05660029470778776
52,0.023564911680511585
53,0.19128220383721914
54,0.020980299688501226
55,0.05628436237451924
56,0.12851157940505273
57,0.035154645707751654
58,0.03564528480375634
59,0.03711889242336618
60,0.02174949702798458
61,0.10051681925637698
62,0.11884219546629944
63,0.06638076000294683
64,0.028656933953635777
65,0.4046830741222779
66,0.03454745573596241
67,0.05059803089266821
68,0.04524359060551812
69,0.06420995047242346
70,0.03185026806073734
71,0.03841472190352741
72,0.009449165863764581
73,0.06292326222826675
74,0.030564387922110497
75,0.034624992347991414
76,0.05597920413800073
77,0.13153396089116454
78,0.160526281762041
79,0.06341706613077282
80,0.041119784619825156
81,0.018030201053048818
82,0.01639804864757785
83,0.08436499573707479
84,0.09477125328784274
85,0.045361919709806645
86,0.14902709796612687
87,0.4107085039981922
88,0.079339601826497
89,0.03531716461801108
90,0.016917966177068637
91,0.047996839465300596
92,0.08340772606065701
93,0.11719455651578578
94,0.16843437165636993
95,0.022187295728198293
96,0.028062350314056725
97,0.03974944369702108
98,0.015615429532486567
99,0.013778947218433892
100,0.0348963660695803
101,0.026833122886597914
102,0.03283406509211108
103,0.13727029952538458
104,0.055329684182570615
105,0.030266238475648542
106,0.025299884998135576
107,0.09717834089483426
108,0.5128829896293443
109,0.045016584689475066
110,0.01860613976432736
111,0.028449763475156015
112,0.04101991996772775
113,0.05307717779325106
114,0.02254518683975649
115,0.11445652297866668
116,0.15696520991468793
117,0.11173594986068688
118,0.11385775616253087
119,0.050385708198023176
120,0.022294146967118157
121,0.028751016753957644
122,0.03630903283344184
123,0.04200785231738734
124,0.009048324315245696
125,0.04525868929413074
126,0.05743896045282813
127,0.24151986628355693
128,0.026096116528840887
